Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.ludus_septem_sapientum,1.0,"ignosco, iste, an, cognosco, rearis, ad-tendo, drepanis, perlego, iudicium, aequanimus, fio, tu, iudex, siue, lego, siue, tego, puto, carmen, qui, do, nam, primus, sum, mereo, tuus, pacatum, fauor, propior, defendo, cura, pudor, sum, possum, ego, censeo, lector, fero, seuerus, et, possum, modicus, laus, placeo, ego, nosco, equus, plaudo, sonitus, ceruix, amo, nosco, et, intrepidus, uerbero, lentus, patior, maeonio, qual, cultus, quaero, homerus, censor, aristarchus, norma, zenodoti, pono, obelos, igitur, prima, stigma, uates, palmo, non, culpo, sum, puto, meus, et, corrigo, magis, quam, condemno, uoco, appono, doceo, qui, ego, limo, uir, interea, arbitrium, subeo, pondero, tantus, opto, ut, placeo, si, paruus, ut, lateo",102,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 1.0, 0.0, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.044,-0.015,"tu, pudor, uerbero",0.029
ausonius.ludus_septem_sapientum,2.0,"septem, sapio, nomen, qui, iste, do, ssuperior, aetas, neque, sequor, tollo, hodie, in, orchestra, palliatus, pro-eo, quis, erubesco, tu, togate, romulis, scaena, qui, introibunt, tam, clarus, uir, nos, pudeo, hic, non, et, atticis, quoque, qui, theatrum, curia, praebeo, uicis, noster, negotis, suus, locum, sortior, do, campus, comitium, ut, conscribo, curia, forum, atque, rostrum, separo, ius, ciuis, unus, sum, athenae, atque, in, omnis, graecia, ad, consulo, publicus, sedes, locus, quam, in, urbs, noster, serus, luxus, condo, aedilis, olim, scaena, tabulatam, do, subeo, excito, nullus, moles, saxeus, murena, sic, et, gallius, nosco, eloquor, postquam, potens, neque, uereor, sumptus, nomen, perenne, credo, si, semel, construo, moles, saxeus, fundamen, in, omnis, tempus, condo, ludus, locus, cuneata, cerno, hic, theatrum, inmanitas, pompeius, hic, et, balbus, et, caesar, do, octauianus, concertantes, sumptus, sed, quis, ego, iste, non, hic, de, causa, huc, prodii, ut, expedirem, quis, theatrum, quis, forum, quis, condo, priuo, pars, moenia, sed, ut, uereor, diues, laudo, uir, praegrederer, aperiremque, quis, uolo, sui, pronuntiaris, suus, soleo, sententia, qui, quisque, iam, prudens, anteuerterit, scio, profecto, qui, sum, sed, si, memoria, res, uetustus, claudo, uenio, ludius, edissertator, haris, qui, teneo, paruus",184,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, 0.5, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0",0.022,-0.019,"erubesco, tu, pudeo, hic, luxus, hic, inmanitas, hic, hic",0.049
ausonius.ludus_septem_sapientum,3.0,"delphis, solonem, scripse, fama, sum, atticus, γνῶθι, σεαυτόν, qui, latinum, sum, nosco, tu, multus, hic, laconis, sum, chilonis, puto, spartum, -ne, chilo, -ne, sum, tuus, necne, ambago, qui, iuxta, fero, ὄρα, τέλος, μακροῦ, βίου, finis, intueor, longus, uita, qui, iubeo, multus, hic, solonem, dico, croeso, existimo, et, pittacum, dico, fama, sum, lesbium, γίγνωσκε, καιρόν, tempus, ut, nosco, iubeo, sed, καιρὸς, iste, tempestiuus, tempus, sum, bias, prieneus, dico, οἱ, πλεῖστοι, κακοί, qui, sum, latinum, multus, homo, sum, malus, sed, imperitus, scio, qui, dico, malus, μελέτη, τὸ, πᾶν, periandri, is, sum, corinthii, meditatio, possum, totus, qui, puto, ἄριστον, μέτρον, sum, dico, lindius, cleobulus, hic, sum, bonus, cunctus, modus, thal, sed, ἐγγύα, πάρα, δ, ἄτα, profero, spondeo, qui, nos, noxa, quia, praes, sum, ueto, hic, nos, moneo, faenero, non, placeo, dico, recedo, legifer, uenio, solum, -ne",133,"NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, -1.0, NaN, -0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,-0.026,"tu, hic, hic, imperitus, hic, noxa, hic",0.053
ausonius.ludus_septem_sapientum,4.0,"de, mos, graecus, pro-eo, in, scaena, solum, -ne, septem, sapiens, fama, qui, palma, do, sed, fama, non, sum, iudicium, seueritas, neque, enim, sum, primus, ego, uerus, unus, existimo, aequalitas, qui, ordo, nescio, patior, rectus, olim, ineptus, delphicus, suadeo, deus, quaero, quisnam, primus, sapiens, sum, ut, in, orbis, teres, nomen, sero, inderet, ne, primus, sum, ne, uel, imus, quispiam, is, e, medium, pro-eo, gyrus, solum, -ne, ut, qui, dico, croeso, rex, existimo, is, omnis, homo, seco, sui, dico, puto, graeca, cogo, sum, ὄρα, τέλος, μακροῦ, βίου, qui, longus, fio, si, latina, dico, specto, uita, iubeo, cunctus, terminus, proinde, miser, aut, beatus, dico, euito, qui, sum, semper, anceps, in, status, is, adeo, sic, sum, si, queo, paucus, loquor, rex, an, tyrannus, lydiae, croesus, sum, hic, in, beatus, diues, insanus, in, modus, later, aureus, templum, qui, diuus, do, is, ego, euoco, uenio, dico, oboedio, bonus, ut, uti, rex, possum, lydii, rogo, beatus, prodo, si, qui, nosco, tellena, dico, ciuis, non, ignobilis, pro, patria, pugno, iste, uita, ob-iacio, despicio, alius, quaero, inuenio, aglaum, finis, agellus, proprius, is, numquam, excedo, at, ille, rideo, “, quo, deinde, ego, pono, locus, beatus, orbis, totus, qui, solus, uoco, “spectandum, dico, “terminum, uita, prior, tum, iudico, si, maneo, felicitas, dico, molestus, croesus, accipio, ego, relinquo, rex, bellum, ille, in, permulceo, paro, proficiscor, uinco, uincio, rex, dedo, sto, ille, capto, funus, iam, instar, suus, qui, flamma, totus, sui, per, ambitus, do, uoluo, in, altus, tumidus, aestus, globus, atque, paene, serus, croesus, ingens, sonus, “, o, uerus, uates, inquam, o, solum, -ne, solum, -ne, clamor, magnus, ter, solonem, nuncupo, qui, uox, cyrus, moueo, extingui, iubeo, gyrus, per, omnis, et, destruo, ardeo, pyra, et, commodus, profundo, imber, nubis, reprimo, ignis, croesus, ad, rex, ilico, per, militaris, duco, lego, manus, interrogo, qui, solonem, dico, et, quam, cieo, causa, habeo, nomen, series, per, omnis, cunctus, rex, edissero, misero, ille, uis, fortuna, uideo, laudo, solonem, croesus, inde, in, amicus, habeo, uincio, pedica, aureus, cum, sui, iubeo, reliquus, qui, sum, uita, totus, dego, ego, duo, rex, testimonium, laudo, et, probo, ambo, sum, quisque, unus, dico, sum, quisque, sui, dico, puto, ego, iam, perago, qui, de, causa, huc, prodii, uenio, ecce, chilo, -ne, tu, ualeo, et, plaudo",360,"NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, 1.0, NaN, -1.0, 0.0, NaN, 0.0, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, -1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, -1.0, NaN, 0.5, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.04,-0.021,"seueritas, ineptus, miser, tyrannus, hic, insanus, permulceo, misero, tu",0.025
ausonius.ludus_septem_sapientum,5.0,"lumbus, sedeo, oculus, specto, doleo, maneo, solonem, quoad, ad, sui, sui, recipiat., hui, quam, paucus, deus, locuntur, atticus, unus, trecenti, uersus, sententia, tandem, perago, ego, respecto, abeo, spartanus, ego, sum, chilo, -ne, qui, nunc, pro-eo, breuitas, nosco, qui, lacones, utor, commendo, nos, γνῶθι, σεαυτόν, nosco, tu, qui, in, columna, iam, teneo, delphica, labor, molestus, iste, fruor, sum, bonus, quis, fero, possum, quis, non, dignosco, nox, diu, qui, gero, qui, gero, ad, usque, pungo, tenuis, instar, quaerere., officium, cunctus, pudor, honor, constantia, in, hic, et, ullus, sperno, nos, gloria, dico, ualeo, memor, plausus, non, moror",94,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, -1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.0, 0.5, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN",0.032,-0.016,"tu, pudor, hic",0.032
ausonius.ludus_septem_sapientum,6.0,"cleobulus, ego, sum, paruus, ciuis, insula, magnus, sed, auctor, qui, cluo, sententia, ἄριστον, μέτρον, qui, dico, existimo, interpretaris, tu, qui, orchestra, proximus, gradus, propinquus, in, quatuordecim, sedes, ἄριστον, μέτρον, an, sum, bonus, modus, dico, adnuisti, gratia, habeo, persequor, per, ordo, iam, dico, ex, iste, locus, a-for, poeta, uester, “ut, ne, quis, nimis, et, noster, quidam, μηδὲν, ἄγαν., huc, pertineo, uterque, sensus, italus, seu, dorius, for, taceo, somnium, uigilii, is, modus, beneficus, gratia, iniuria, studium, labor, uito, in, omnis, quisquis, sum, iste, requiro, bonus, pausae, modus, dico, recedo, sum, modus, uenio, thal",91,"NaN, NaN, NaN, 0.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, 1.0, 1.0, -1.0, 0.5, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN",0.088,-0.016,tu,0.011
ausonius.ludus_septem_sapientum,7.0,"milesius, sum, thal, aqua, qui, princeps, res, creo, dico, ut, uates, pindarus, quisque, olim, iussus, apollo, tripus, aureus, do, piscator, extraho, mare, namque, hic, iubeo, de_-lio, ego, lego, qui, ille, munus, hic, sapio, mitto, ego, recuso, non, recipio, et, reddo, fero, ad, alius, qui, prior, credo, deinde, per, omnis, septem, sapio, uir, mitto, atque, remitto, rursus, ad, ego, defero, ego, recipio, consecro, apollini, nam, si, sapio, deligo, phoebus, iubeo, non, homo, quisquam, sed, deus, credo, decet, is, igitur, ego, sum, causa, sed, in, scaena, sum, ego, pro-eo, qui, duo, ante, ego, assertor, ut, sententia, fio, meus, is, displiceo, non, tamen, prudens, qui, doceo, utor, et, pereo, reddo, en, ἐγγύα, πάρα, δ, ἄτα, graeca, dico, latinum, sum, spondeo, noxa, sed, praesto, tu, per, mille, possum, curro, exemplum, ut, probo, prae-do, uadesque, paenitudo, reus, sed, nolo, quisquam, nominatim, dico, sui, quisque, uester, dico, et, cum, sui, puto, spondeo, quantus, damnum, sum, et, malus, gratus, hic, officium, maneo, ambo, tamen, pars, plaudo, ergo, pars, offendo, explodite",163,"NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, 1.0, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN",0.012,-0.018,"hic, de_-lio, hic, noxa, tu, reus, hic",0.043
ausonius.ludus_septem_sapientum,8.0,"bias, prieneus, qui, dico, oἱ, πλεῖστοι, κακοι, latina, dico, suspicor, multus, malus, dico, nolo, uereor, odium, parit., malus, sed, imperitus, dico, et, barbarus, qui, ius, et, aequus, et, sacer, mos, neglego, nam, populus, iste, quo, theatrum, cingo, totus, bonus, sum, hostis, tellus, habeo, dico, qui, ego, credo, multus, malus, sed, nemo, quisquam, tam, malus, iudex, sum, quin, iam, bonus, pars, sui, copulo, siue, ille, uerus, bonus, sum, seu, dico, studeo, iam, fugio, ille, nomen, inuideo, malus, abeo, ualeo, et, plaudo, multus, boni.",82,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, -0.5, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, 1.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, -0.5, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN",-0.018,-0.098,imperitus,0.012
ausonius.ludus_septem_sapientum,9.0,"mytilena, ego, ortus, pittacus, sum, lesbius, γίνωσκε, καιρὸν, qui, doceo, sententia, sed, iste, καιρός, tempus, ut, nosco, moneo, et, sum, καιρόν, tempestiuus, qui, uoco, romana, sic, et, sum, uox, uenio, in, tempore., uester, quoque, iste, comicus, tero, res, omnis, sum, primus, tempus, autumo, ad, antiphilam, cum, uenio, seruus, dromos, nullus, inpeditam, tempus, seruo, uicis, reputas, cunctus, quotiens, offendo, incido, specto, qui, non, sum, opportunitas, tempus, moneo, ne, sum, molestus, plaudo",70,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, -1.0, NaN",-0.007,-0.021,lesbius,0.014
ausonius.ludus_septem_sapientum,10.0,"ephyra, creo, huc, periander, pro-eo, μελέτη, τὸ, πᾶν, qui, dico, et, dico, iam, probo, meditatio, sum, qui, rectus, gero, is, quippe, solus, res, gero, sum, efficax, meditor, omnis, qui, prior, negotium, aduerso, res, uel, secundus, praedico, meditor, cunctus, comicus, tero, locaris, sedes, bellum, gero, aut, pono, magnus, modicasque, res, etiam, paruus, quoque, ago, uolo, semper, meditaris, decet, nam, segnis, omnis, in, coepio, nouus, meditatio, si, res, gero, desum, nihil, sum, qui, amplus, cura, postulo, quam, cogito, quis, gero, sum, dehinc, incogitantes, fors, non, consilium, rego, sed, ego, ego, ad, pars, iam, recipio, plaudo, meditor, et, uester, res, curo, publicus",99,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, 0.5, -0.5, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0",0.02,-0.02,,0.0
